Scamp4	Miscellaneous	Intracellular	57
Selplg	Transmembrane signal receptors	Transmembrane	57
Sema3f	Intercellular signal molecule	Secreted	57
Serpinb3a	Protease inhibitors	Intracellular	57
Serpine1	Protease inhibitors	Secreted	"26,42,57,63,83,85,88,89"
Serpine2	Protease inhibitors	Secreted	"42,88"
Spp1	Cytokine/Chemokine	Secreted	57
Spx	Intercellular signal molecule	Secreted	57
Timp2	Protease inhibitors	Secreted	"18,42,88,89"
Tnf	Cytokine/Chemokine	Secreted	"82,86"
Tnfrsf11b	Transmembrane signal receptors	Transmembrane	"42,89"
Tnfrsf1a	Transmembrane signal receptors	Transmembrane	"42,88"
Tnfrsf1b	Transmembrane signal receptors	Transmembrane	42
Tubgcp2	Miscellaneous	Intracellular	89
Vegfa	Growth factor	Secreted	"26,42,83,89"
Vegfc	Growth factor	Secreted	89
Vgf	Intercellular signal molecule	Secreted	56
Wnt16	Intercellular signal molecule	Secreted	57
Wnt2	Intercellular signal molecule	Transmembrane	57
