#GeneID,Symbol,GeneInfo,Localization,Process,Function,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,Minimum Effect 95% Credible Interval Estimate,Maximum Effect 95% Credible Interval Estimate
ENSG00000239713,APOBEC3G,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G",cytoplasmic mRNA processing body|cytoplasm|cytosol|ribonucleoprotein complex|apolipoprotein B mRNA editing enzyme complex|,positive regulation of defense response to virus by host|cytidine deamination|negative regulation of transposition|viral process|base conversion or substitution editing|negative regulation of viral genome replication|innate immune response|negative regulation of single stranded viral RNA replication via double stranded DNA intermediate|negative regulation of viral process|defense response to virus|DNA cytosine deamination|,RNA binding|cytidine deaminase activity|protein binding|zinc ion binding|protein homodimerization activity|deoxycytidine deaminase activity|,10,-0.9,1.57,10,0.1,0.631,-0.3,1.8,-1.9,0.5
ENSG00000100298,APOBEC3H,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H",cytoplasmic mRNA processing body|nucleus|cytoplasm|,cytidine deamination|negative regulation of transposition|negative regulation of transposition|innate immune response|negative regulation of single stranded viral RNA replication via double stranded DNA intermediate|negative regulation of viral process|defense response to virus|DNA cytosine deamination|,cytidine deaminase activity|protein binding|zinc ion binding|,10,-0.6,2.18,10,-0.3,0.553,-0.4,1.82,-1.7,0.7
ENSG00000021776,AQR,aquarius intron-binding spliceosomal factor,nucleus|membrane|catalytic step 2 spliceosome|,"mRNA splicing, via spliceosome|",protein binding|poly(A) RNA binding|,9,-1.4,21.9,10,-2.7,29.7,-2.6,48.4,-4.7,-1.9
ENSG00000159314,ARHGAP27,Rho GTPase activating protein 27,intracellular|cytoplasm|membrane|,receptor-mediated endocytosis|signal transduction|positive regulation of Rac GTPase activity|positive regulation of Cdc42 GTPase activity|,SH3 domain binding|Rac GTPase activator activity|,10,-0.2,1.45,10,0.2,0.592,-0.2,1.15,-1.9,1
ENSG00000167283,ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)|mitochondrion|mitochondrial inner membrane|mitochondrial proton-transporting ATP synthase complex|extracellular vesicular exosome|",ATP catabolic process|respiratory electron transport chain|mitochondrial ATP synthesis coupled proton transport|mitochondrial ATP synthesis coupled proton transport|cellular metabolic process|small molecule metabolic process|,hydrogen ion transmembrane transporter activity|ATPase activity|transmembrane transporter activity|,10,3,21.3,10,1,11.1,2.9,27.2,2.3,5.7
ENSG00000198604,BAZ1A,"bromodomain adjacent to zinc finger domain, 1A",nuclear chromosome|CHRAC|ACF complex|,"DNA-dependent DNA replication|chromatin remodeling|transcription, DNA-templated|regulation of transcription, DNA-templated|",protein binding|zinc ion binding|,10,0.3,2.68,10,0.3,4.09,0.3,6.46,0,0.8
ENSG00000009954,BAZ1B,"bromodomain adjacent to zinc finger domain, 1B",condensed chromosome|centromeric heterochromatin|nuclear replication fork|,"heart morphogenesis|double-strand break repair|chromatin assembly or disassembly|transcription, DNA-templated|regulation of transcription, DNA-templated|cellular response to DNA damage stimulus|histone phosphorylation|peptidyl-tyrosine phosphorylation|peptidyl-tyrosine phosphorylation|chromatin-mediated maintenance of transcription|positive regulation of receptor activity|",chromatin binding|protein tyrosine kinase activity|non-membrane spanning protein tyrosine kinase activity|protein binding|ATP binding|zinc ion binding|histone kinase activity|lysine-acetylated histone binding|vitamin D receptor activator activity|,10,0.2,0.908,10,-0.1,0.0313,0.1,0.181,-1.4,1.5
ENSG00000197299,BLM,"Bloom syndrome, RecQ helicase-like","nuclear chromosome|chromosome, telomeric region|lateral element|male germ cell nucleus|nucleus|replication fork|nucleolus|cytoplasm|nuclear matrix|PML body|PML body|pronucleus|","regulation of cyclin-dependent protein serine/threonine kinase activity|mitotic G2 phase|telomere maintenance|double-strand break repair via homologous recombination|DNA double-strand break processing|DNA strand renaturation|ATP catabolic process|ATP catabolic process|DNA repair|DNA recombination|cellular response to DNA damage stimulus|cellular response to DNA damage stimulus|response to X-ray|replication fork processing|G2 DNA damage checkpoint|DNA duplex unwinding|DNA duplex unwinding|DNA duplex unwinding|positive regulation of transcription, DNA-templated|negative regulation of DNA recombination|negative regulation of mitotic recombination|alpha-beta T cell differentiation|positive regulation of alpha-beta T cell proliferation|replication fork protection|regulation of binding|protein oligomerization|negative regulation of cell division|negative regulation of thymocyte apoptotic process|cellular response to ionizing radiation|cellular response to hydroxyurea|cellular response to camptothecin|",bubble DNA binding|p53 binding|single-stranded DNA binding|ATP-dependent DNA helicase activity|ATP-dependent DNA helicase activity|helicase activity|protein binding|ATP binding|ATP-dependent helicase activity|four-way junction helicase activity|ATPase activity|annealing helicase activity|ATP-dependent 3'-5' DNA helicase activity|G-quadruplex DNA binding|,10,-1.4,19.1,10,-2.7,29,-2.7,45.7,-4.8,-2.1
ENSG00000012048,BRCA1,"breast cancer 1, early onset",ubiquitin ligase complex|ruffle|nucleus|nucleoplasm|chromosome|cytoplasm|plasma membrane|focal adhesion|gamma-tubulin ring complex|ribonucleoprotein complex|BRCA1-BARD1 complex|filamentous actin|protein complex|BRCA1-A complex|,"double-strand break repair via homologous recombination|double-strand break repair via homologous recombination|DNA repair|postreplication repair|double-strand break repair|double-strand break repair|regulation of transcription from RNA polymerase II promoter|regulation of transcription from RNA polymerase III promoter|fatty acid biosynthetic process|apoptotic process|cellular response to DNA damage stimulus|DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator|chromosome segregation|intrinsic apoptotic signaling pathway in response to DNA damage|response to ionizing radiation|protein ubiquitination|androgen receptor signaling pathway|positive regulation of protein ubiquitination|G2 DNA damage checkpoint|substrate adhesion-dependent cell spreading|positive regulation of histone acetylation|regulation of cell proliferation|regulation of apoptotic process|response to estrogen|negative regulation of fatty acid biosynthetic process|positive regulation of DNA repair|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|negative regulation of centriole replication|positive regulation of histone H3-K4 methylation|negative regulation of histone H3-K9 methylation|protein autoubiquitination|positive regulation of histone H4-K20 methylation|positive regulation of cell cycle arrest|cellular response to indole-3-methanol|protein K6-linked ubiquitination|regulation of cell motility|positive regulation of histone H3-K9 acetylation|positive regulation of histone H4-K16 acetylation|",DNA binding|transcription coactivator activity|RNA binding|ubiquitin-protein transferase activity|ubiquitin-protein transferase activity|protein binding|zinc ion binding|tubulin binding|ligase activity|enzyme binding|ubiquitin protein ligase binding|transcription regulatory region DNA binding|androgen receptor binding|,10,1.4,22.7,10,0.8,21.3,1.3,41,0.7,1.8
ENSG00000139618,BRCA2,"breast cancer 2, early onset",nucleus|nucleoplasm|cytoplasm|centrosome|secretory granule|BRCA2-MAGE-D1 complex|protein complex|,"double-strand break repair via homologous recombination|double-strand break repair via homologous recombination|cytokinesis|oocyte maturation|inner cell mass cell proliferation|DNA repair|nucleotide-excision repair|double-strand break repair|double-strand break repair|DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator|male meiosis I|spermatogenesis|brain development|cell aging|female gonad development|response to X-ray|response to UV-C|response to gamma radiation|hemopoiesis|regulation of cytokinesis|negative regulation of mammary gland epithelial cell proliferation|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator|histone H3 acetylation|histone H4 acetylation|positive regulation of transcription, DNA-templated|positive regulation of mitotic cell cycle|replication fork protection|centrosome duplication|",protease binding|single-stranded DNA binding|protein binding|H3 histone acetyltransferase activity|H4 histone acetyltransferase activity|gamma-tubulin binding|,10,0.8,7.19,10,1.3,11.1,1.1,16.1,0.5,1.8
ENSG00000125319,C17ORF53,chromosome 17 open reading frame 53,None,None,None,10,1,22.5,10,0.9,26.4,0.9,48.2,0.7,1.3
ENSG00000185504,C17ORF70,chromosome 17 open reading frame 70,nucleus|nucleoplasm|cytoplasm|Fanconi anaemia nuclear complex|intermediate filament cytoskeleton|,DNA repair|,DNA binding|protein binding|,10,0.9,23.4,10,1.1,38.7,1,60.8,0.8,1.4
ENSG00000131944,C19ORF40,chromosome 19 open reading frame 40,nucleus|nucleoplasm|intracellular membrane-bounded organelle|Fanconi anaemia nuclear complex|,DNA repair|,DNA binding|chromatin binding|protein binding|,10,1.3,19.9,10,1.2,32.1,1.3,51.6,0.9,1.7
ENSG00000108468,CBX1,chromobox homolog 1,"chromosome, centromeric region|chromatin|female pronucleus|male pronucleus|nucleoplasm|nuclear heterochromatin|centromeric heterochromatin|spindle|chromocenter|","negative regulation of transcription, DNA-templated|",chromatin binding|protein binding|enzyme binding|identical protein binding|histone methyltransferase binding|,9,-3.9,21.4,10,-0.7,1.05,-3.9,18.8,-7,-3.5
ENSG00000122565,CBX3,chromobox homolog 3,"condensed chromosome, centromeric region|chromatin|nucleus|nuclear envelope|nuclear inner membrane|nuclear euchromatin|nuclear heterochromatin|spindle|nuclear centromeric heterochromatin|","chromatin remodeling|transcription, DNA-templated|negative regulation of transcription, DNA-templated|negative regulation of transcription, DNA-templated|rhythmic process|",protein binding|enzyme binding|protein domain specific binding|identical protein binding|histone methyltransferase binding|,10,-1.9,5.82,10,-0.3,4.22,-0.3,6.92,-3.1,-0.1
ENSG00000094916,CBX5,chromobox homolog 5,histone deacetylase complex|kinetochore|nucleus|nuclear envelope|nucleoplasm|nuclear heterochromatin|nucleolus|chromocenter|PML body|transcriptional repressor complex|nuclear centromeric heterochromatin|histone methyltransferase complex|,"blood coagulation|viral process|negative regulation of transcription, DNA-templated|negative regulation of transcription, DNA-templated|","chromatin binding|protein binding|protein binding, bridging|methylated histone binding|protein homodimerization activity|histone deacetylase binding|repressing transcription factor binding|",10,0.2,1.02,10,0.3,2.43,0.2,3.05,-0.4,1.3
ENSG00000104957,CCDC130,coiled-coil domain containing 130,cellular_component|,response to virus|,protein binding|,10,1.3,36.9,10,2.6,34.8,2.5,65.4,1.3,5
ENSG00000164989,CCDC171,coiled-coil domain containing 171,None,None,None,10,-0.4,3.62,10,-1,3.28,-0.5,4.53,-1.8,0
ENSG00000160791,CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),cytoplasm|endosome|plasma membrane|integral component of plasma membrane|external side of plasma membrane|cell surface|,MAPK cascade|dendritic cell chemotaxis|calcium ion transport|chemotaxis|inflammatory response|immune response|cellular defense response|cell surface receptor signaling pathway|G-protein coupled receptor signaling pathway|positive regulation of cytosolic calcium ion concentration|cell-cell signaling|release of sequestered calcium ion into cytosol by sarcoplasmic reticulum|viral process|calcium-mediated signaling|signaling|entry into host cell|chemokine-mediated signaling pathway|chemokine-mediated signaling pathway|chemokine-mediated signaling pathway|chemokine-mediated signaling pathway|response to cholesterol|cellular response to lipopolysaccharide|,actin binding|phosphatidylinositol phospholipase C activity|chemokine receptor activity|protein binding|coreceptor activity|C-C chemokine receptor activity|C-C chemokine receptor activity|C-C chemokine binding|chemokine (C-C motif) ligand 5 binding|,10,0,0,10,0.1,0.206,0.1,0.0568,-1.1,1.8
ENSG00000185324,CDK10,cyclin-dependent kinase 10,None,protein phosphorylation|traversing start control point of mitotic cell cycle|negative regulation of cell proliferation|,cyclin-dependent protein serine/threonine kinase activity|protein binding|ATP binding|,10,1.2,59.4,10,1,73.7,1.1,132,0.9,1.4
ENSG00000167258,CDK12,cyclin-dependent kinase 12,cyclin K-CDK12 complex|nucleus|nucleolus|nuclear speck|nuclear cyclin-dependent protein kinase holoenzyme complex|,mRNA processing|RNA splicing|regulation of MAP kinase activity|protein autophosphorylation|regulation of cell cycle|phosphorylation of RNA polymerase II C-terminal domain|,protein kinase activity|cyclin-dependent protein serine/threonine kinase activity|protein binding|ATP binding|RNA polymerase II carboxy-terminal domain kinase activity|cyclin binding|,10,1.1,39.2,10,0.8,36.7,1,74.6,0.8,1.3
ENSG00000135346,CGA,"glycoprotein hormones, alpha polypeptide",extracellular region|,thyroid hormone generation|signal transduction|cell-cell signaling|positive regulation of cell proliferation|gonad development|peptide hormone processing|positive regulation of cell migration|thyroid gland development|luteinizing hormone secretion|cellular response to hormone stimulus|cellular protein metabolic process|positive regulation of transcription from RNA polymerase II promoter|negative regulation of organ growth|follicle-stimulating hormone secretion|developmental growth|,hormone activity|protein binding|,10,0,0,10,0,0,0,0,-1.2,1.8
ENSG00000169105,CHST14,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14,Golgi membrane|integral component of membrane|extracellular vesicular exosome|,carbohydrate metabolic process|carbohydrate biosynthetic process|glycosaminoglycan metabolic process|chondroitin sulfate metabolic process|dermatan sulfate biosynthetic process|small molecule metabolic process|dermatan sulfate proteoglycan metabolic process|,N-acetylgalactosamine 4-O-sulfotransferase activity|phosphate ion binding|,10,-1.3,18.9,10,-0.3,2.93,-0.3,19.4,-1.7,-0.2
ENSG00000176444,CLK2,CDC-like kinase 2,nucleus|nuclear speck|,protein phosphorylation|response to ionizing radiation|peptidyl-tyrosine phosphorylation|response to retinoic acid|regulation of RNA splicing|negative regulation of gluconeogenesis|protein autophosphorylation|,protein serine/threonine kinase activity|protein serine/threonine/tyrosine kinase activity|protein tyrosine kinase activity|protein binding|ATP binding|,10,0,0,10,-0.1,0.0769,0,0,-1.8,1.1
ENSG00000162368,CMPK1,"cytidine monophosphate (UMP-CMP) kinase 1, cytosolic",nucleus|nucleolus|cytoplasm|cytosol|extracellular vesicular exosome|,nucleoside diphosphate phosphorylation|UMP biosynthetic process|UDP biosynthetic process|dUDP biosynthetic process|dCDP biosynthetic process|nucleoside triphosphate biosynthetic process|pyrimidine ribonucleotide biosynthetic process|nucleobase-containing small molecule interconversion|phthalate metabolic process|ovulation cycle process|small molecule metabolic process|CDP biosynthetic process|nucleobase-containing small molecule metabolic process|,cytidylate kinase activity|nucleoside diphosphate kinase activity|uridine kinase activity|ATP binding|UMP kinase activity|,10,1.3,8.67,10,1.1,19.3,1.1,26.8,0.8,1.8
ENSG00000162377,COA7,cytochrome c oxidase assembly factor 7 (putative),mitochondrial intermembrane space|,None,None,10,2.4,31.3,10,-2.1,52.7,-2.1,83.2,-3,-1.8
ENSG00000149532,CPSF7,"cleavage and polyadenylation specific factor 7, 59kDa",nucleus|nucleoplasm|mRNA cleavage factor complex|membrane|,"mRNA splicing, via spliceosome|transcription from RNA polymerase II promoter|termination of RNA polymerase II transcription|RNA splicing|gene expression|mRNA 3'-end processing|protein tetramerization|",nucleotide binding|protein binding|poly(A) RNA binding|,10,-1.5,59.2,10,-0.5,15.1,-1.3,66.8,-1.8,-0.7
ENSG00000150316,CWC15,CWC15 spliceosome-associated protein,nucleus|nucleus|spliceosomal complex|catalytic step 2 spliceosome|,"mRNA splicing, via spliceosome|mRNA splicing, via spliceosome|",RNA binding|protein binding|,10,0.7,8.61,10,0.7,11.3,0.7,19.5,0.4,1
ENSG00000169248,CXCL11,chemokine (C-X-C motif) ligand 11,extracellular region|extracellular space|,chemotaxis|inflammatory response|immune response|signal transduction|cell-cell signaling|T cell chemotaxis|positive regulation of cAMP metabolic process|regulation of cell proliferation|positive regulation of cAMP-mediated signaling|positive regulation of release of sequestered calcium ion into cytosol|chemokine-mediated signaling pathway|,protein binding|chemokine activity|heparin binding|CXCR3 chemokine receptor binding|,10,0,0,10,0.1,0.415,0.1,0.227,-1.3,1.6
ENSG00000152457,DCLRE1C,DNA cross-link repair 1C,nucleus|,"telomere maintenance|DNA catabolic process, endonucleolytic|double-strand break repair|DNA recombination|response to ionizing radiation|B cell differentiation|nucleic acid phosphodiester bond hydrolysis|",single-stranded DNA endodeoxyribonuclease activity|5'-3' exonuclease activity|,10,-0.5,5.87,10,-0.4,5.69,-0.4,11.1,-0.9,-0.2
ENSG00000198171,DDRGK1,DDRGK domain containing 1,endoplasmic reticulum|,None,protein binding|,10,0.3,1.76,10,0.4,0.606,0.3,2.14,-0.5,1.6
ENSG00000168872,DDX19A,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19A,nuclear pore|cytoplasm|membrane|nuclear membrane|,biological_process|metabolic process|response to zinc ion|protein transport|positive regulation of apoptotic process|mRNA transport|,molecular_function|RNA binding|helicase activity|ATP binding|,10,-0.5,0.751,10,0,0,0.1,0.0196,-1.6,1.4
ENSG00000157349,DDX19B,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B,nuclear envelope|nuclear pore|cytoplasm|membrane|nuclear membrane|extracellular vesicular exosome|,mRNA export from nucleus|protein transport|,RNA binding|helicase activity|ATP binding|,10,0.2,0.662,10,-0.1,0.00356,0,0,-1.3,1.6
ENSG00000198231,DDX42,DEAD (Asp-Glu-Ala-Asp) box helicase 42,nucleus|cytoplasm|Cajal body|membrane|nuclear speck|,ATP catabolic process|protein localization|,protein binding|ATP binding|ATP-dependent helicase activity|poly(A) RNA binding|,10,0.2,0.372,10,1,11.7,0.8,9.56,0.4,1.8
ENSG00000100150,DEPDC5,DEP domain containing 5,lysosomal membrane|cytosol|perinuclear region of cytoplasm|,intracellular signal transduction|positive regulation of GTPase activity|,GTPase activator activity|,9,1.3,64.8,9,1.2,64.9,1.2,129,1,1.5
