Gene(human)	Classification	State	Reference
PLAU	(Metallo-)proteases	Secreted	42
PLAUR	Transmembrane signal receptors	Transmembrane	"42,89"
PTBP1	Miscellaneous	Intracellular	57
PTGER2	Transmembrane signal receptors	Transmembrane	57
PTGES	Protein modifying enzymes	Intracellular	89
RPS6KA5	Protein modifying enzymes	Intracellular	89
SCAMP4	Miscellaneous	Intracellular	57
SELPLG	Transmembrane signal receptors	Transmembrane	57
SEMA3F	Intercellular signal molecule	Secreted	57
SERPINB4	Protease inhibitors	Intracellular	57
SERPINE1	Protease inhibitors	Secreted	"26,42,57,63,83,85,88,89"
SERPINE2	Protease inhibitors	Secreted	"42,88"
SPP1	Cytokine/Chemokine	Secreted	57
SPX	Intercellular signal molecule	Secreted	57
TIMP2	Protease inhibitors	Secreted	"18,42,88,89"
TNF	Cytokine/Chemokine	Secreted	"82,86"
TNFRSF10C	Transmembrane signal receptors	Transmembrane	42
TNFRSF11B	Transmembrane signal receptors	Transmembrane	"42,89"
TNFRSF1A	Transmembrane signal receptors	Transmembrane	"42,88"
TNFRSF1B	Transmembrane signal receptors	Transmembrane	42
TUBGCP2	Miscellaneous	Intracellular	89
VEGFA	Growth factor	Secreted	"26,42,83,89"
VEGFC	Growth factor	Secreted	89
VGF	Intercellular signal molecule	Secreted	56
WNT16	Intercellular signal molecule	Secreted	57
WNT2	Intercellular signal molecule	Transmembrane	57
